Contract name,Mainnet addrs,Rinkeby addrs
DInterest,0xb5EE8910A93F8A450E97BE0436F36B9458106682,
Dumper,,0x973545CF1f203CFF349Bd1570f0933e816080b08
Factory,,0x9B5e71a3DBBB1B2fCf0BEc8781323909C9CB61E6
,,
88mph cDAI Pool_Proxy,,0x71482F8cD0e956051208603709639FA28cBc1F33
DefaultProxyAdmin,,0x95332016DeAe715d4B12AF37b221c5486FB928C5
EMAOracleTemplate(Dumper),,0x52BD4AD7525020081d5583DA1993d8b8ab01f855
ERC20WrapperTemplate,,0x58911903a5d9D249eE649D5235af2429fF349E62
88mph cDAI Pool--CompoundERC20Market,,0xB4Ffd2868E8aDa5293BBC1Bceb467AB3e53760Ac
88mph cDAI Pool--CompoundERC20Market_Implementation,,0xcB0741B0FF927d524B629eb1E84B07BCad92445B
88mph cDAI Pool--CompoundERC20Market_Proxy,,0xB4Ffd2868E8aDa5293BBC1Bceb467AB3e53760Ac
88mph cDAI Pool,,0x71482F8cD0e956051208603709639FA28cBc1F33
88mph cDAI Pool_Implementation,,0x8916963B6088b1862f0DbF79afB135B756622089
88mph cDAI Pool--Deposit,,0x459858ed3B42BE1960d7C8E662DC1Cba0139588A
88mph cDAI Pool_Proxy,,0x71482F8cD0e956051208603709639FA28cBc1F33
DInterestLens,,0x1BBeA3Fa282dc0199E7dCea34E152FA955fd3c21
DefaultProxyAdmin,,
88mph cDAI Pool--EMAOracle,,0x7Dc5cB1af3CAF36a0C6945fedB5DCa399E6d8F69
88mph cDAI Pool--Floating Rate Bond,,0x61206a2308367F26BE937Fe319c026CE27547448